FSA,age,income,education,lib_like,cpc_like,ndp_like,grn_like,bq_like,ppc_like,latitude,longitude
J6W,42.3,2.7,4.7,56.3,8,23.7,12.7,43,5,45.7064,-73.6178
J6Z,69,3,7,56,5,28,5,29,0,45.6694,-73.7752
J7A,52,1,4,53,57,48,56,68,53,45.6383,-73.7975
J7C,44.2,2.6,6.6,36.8,36.6,36,26,75.8,26.8,45.689,-73.8671
J7E,50,1,5,86,71,77,57,76,91,45.6442,-73.8448
J7H,47.5,4,5.5,37,41.5,17,30,44,2,45.6209,-73.8728
J7J,56.5,3.5,8.5,80,3,28.5,59.5,73,22.5,45.7045,-73.9472
J7K,54,1,7,1,4,3,3,3,4,45.77,-73.6049
J7L,45,5,4,40,41,2,2,38,1,45.7424,-73.6509
J7P,69.7,4,6.7,39.7,1.3,5.3,15.7,51.7,5.3,45.5779,-73.8809
J7R,46.2,3.5,6,32.2,25.8,57.5,31,69.2,33,45.574,-73.94
J7V,32.5,2,6.5,25,0.5,37.5,11,56,0,45.4001,-74.0325
J7Y,33,1,5,28,25,73.5,42,76,26.5,45.8058,-74.0165
J8A,40,4,6,50,20,70,40,90,0,45.9334,-74.0159
J8E,21.5,5.5,4.5,42.5,53,59,36.5,39.5,41.5,46.1949,-74.6264
J8H,65,3,9,20,80,0,0,10,20,45.6501,-74.3325
J8M,59,3,9,40,1,49,35,70,41,45.5435,-75.4274
J8R,33.5,5.5,8,22,20,36,40,87.5,6.5,45.5287,-75.6088
J8T,63.5,3.2,7.2,46.2,17.8,27.8,33.8,68.8,29.8,45.4776,-75.7059
J8V,48.7,4.7,7.7,43.3,18,43,57.7,43,17,45.5711,-75.7615
J8Y,61,1,9,44,0,69,43,0,0,45.448,-75.7434
J8Z,65,3,9,76,44,76,53,69,31,45.4716,-75.7616
J9A,58,3,10,41,18.5,51,34,82.5,6,45.4279,-75.7711
J9B,44,2,9,0,50,10,13,4,89,45.5001,-75.7827
J9J,57.3,4.3,9.3,89,25.3,49,26,51,25.7,45.4394,-75.8465
K0A,67,4,8,0,0,0,0,0,0,45.2557,-76.2754
K0B,47.7,2.7,8.3,54,25,32,43,24,17.7,45.5029,-74.7479
K0G,55.5,4.5,8,37,60,56.5,28.5,44,46,45.0466,-76.4757
K0H,59.5,2,8,80.5,25,30,2.5,1.5,1,44.7208,-76.8334
K0K,63.8,2.2,6.2,57.5,35.2,28.8,36.5,9.8,30.8,44.3261,-77.4318
K0L,60,4,8,23.7,69.7,43.3,30.7,5.7,13,44.7767,-77.9687
K0M,50.5,1.5,6,24,72.5,15.5,30,5.5,28.5,44.8645,-78.6553
K1A,23,4,7.5,35,42.5,52.5,42.5,2.5,0,45.4207,-75.7023
K1B,25,3,9,63,29,55,62,37,24,45.4284,-75.5875
K1C,83,2,7,16,74,32,32,31,53,45.4677,-75.5399
K1D,39,5,11,89,66,85,71,60,60,NA,NA
K1E,64,6,10,50,20,30,20,0,0,45.4771,-75.5046
K1G,49.8,3,8.5,56.2,21,50.5,25.8,17,22.2,45.3548,-75.5773
K1H,67.5,3.5,8.5,59,12.5,60,62,15.5,0.5,45.3876,-75.6593
K1L,52,3,11,99,67,95,64,68,63,45.44,-75.663
K1N,34,3,7,92,0,91,0,0,0,45.4289,-75.6844
K1R,41,2,9,55,33,71,79,41,3,45.4123,-75.7108
K1T,30,5,9,100,53,64,46,55,3,45.3295,-75.6156
K1V,46.7,3.3,6.7,50.7,41.3,29.3,21.3,21.3,22.7,45.3281,-75.6719
K1Y,51.5,2.5,6.5,51.5,42.5,19.5,39,13,32,45.4023,-75.7329
K1Z,61,3,8,52,41.5,35,39,23,20.5,45.3867,-75.7405
K2A,60,1.5,8,9.5,8,62.5,11,3.5,11,45.3805,-75.7636
K2B,59.5,3,5.5,36.5,83.5,0.5,0.5,24.5,8,45.3645,-75.7934
K2C,45.7,3.7,8.7,37.3,10.3,50.3,60.3,23,6,45.3679,-75.7381
K2E,59,5,9.3,69.3,39.7,38.3,36.7,20,13,45.3438,-75.7157
K2G,65.5,3,7.5,64.2,41.2,32.5,44.5,31.5,18,45.3211,-75.7391
K2H,33.5,4,8.5,62.5,32.5,36,57.5,18,18.5,45.3433,-75.8265
K2J,40,4.7,7.7,26,50.7,10.3,19.3,18.3,31.7,45.2691,-75.7518
K2L,32.5,4.5,8,28.5,22.5,32,40.5,2.5,8.5,45.3001,-75.9244
K2M,51,4,8,65.5,1,88,82,9,19.5,45.2861,-75.8562
